제목,작성자,출판사,제작년도,journal,link,abstracts
초등학생 인공지능윤리교육을 위한 STEAM 프로그램 개발,"김지언,이철현",한국인공지능교육학회,2021,인공지능연구 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=37bb2e9e4b3cc271b36097776a77e665&keyword=인공지능,"인공지능 기술은 다양한 분야에서 무한한 편의를 제공하고 있지만, 한편으로 사회에 새로운 갈등을 일으키면서 윤리적 가치를 고민 하게 만들고 있다. 이에 정부와 기업에서는 발 빠르게 인공지능에 대한 윤리적 감성을 가진 인력을 키우기 위해 노력하고 있지만, 실제 교육 현장에서 적용 가능한 인공지능윤리교육 프로그램이나 교수학습자료는 매우 부족한 실정이다. 따라서 본 연구에서는 인 공지능윤리교육을 위한 STEAM 프로그램 개발을 목적으로, 국내외 인공지능윤리 이슈를 분석하여 윤리 항목과 교육 방향을 설정한 후 이를 교육 현장에 효과적으로 적용하기 위하여 STEAM 학습 준거틀을 적용하였다. 학생들은 ‘윤리적인 인공지능 개발자’이면서 동시에 ‘현명한 인공지능 사용자’를 목적으로, 본 프로그램을 통해 인공지능윤리의 핵심 항목인 공정성, 투명성, 책임성에 대해 이해 할 수 있도록 구성하였으며, 교사들이 학교 현장에서 활용 가능한 교수학습과정안과 활동지를 함께 제시하였다. Artificial intelligence technology provides infinite convenience in various fields, but on the other hand, it is creating new conflicts in society and making people think about ethical values. As a result, the government and companies are rapidly trying to develop a workforce with ethical sensitivity to artificial intelligence, but there is a lack of artificial intelligence ethics education programs or teaching materials that can be applied at the actual educational sites. Therefore, for the purpose of developing a STEAM program for artificial intelligence ethics education, domestic and foreign artificial intelligence ethics issues were analyzed, and ethics items and educational directions were set. And then, to effectively utilize this in the educational sites, the STEAM learning-frame was applied. Through this program, students are able to understand fairness, transparency, and responsibility, which are key items of artificial intelligence ethics, aimed at being ""an ethical artificial intelligence developer"" and ""a wise artificial intelligence user."" and teachers can be provided with teaching courses and workbook available at the educational sites."
인공지능 리터러시 함양을 위한 인공지능 융합 사회과 문제해결 수업모형 및 교수전략 개발 연구,"구단희,김진현,이지영,조애영,이원희",한국인공지능교육학회,2022,인공지능연구 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6db688c9d4c274de7ecd42904f0c5d65&keyword=인공지능,"본 연구의 목적은 인공지능 리터러시 함양을 위한 인공지능 융합 사회과 문제해결의 수업모형 및 교수전략을 개발하는 것이다. 본 연구에서는 설계・개발 연구 방법에 따라 선행연구 분석을 통해 초기 수업모형 및 초기 교수전략을 도출하였다. 이후 2차례의 전문 가 내적 타당화 과정으로 수정 및 보완된 수업모형 및 교수전략을 수업에 적용하며 외적 타당화를 거쳤다. 그 결과 01. 인공지능 경험하기, 02. 문제 확인 및 이해, 03. 데이터 탐색하기, 04. 인공지능 설계하기, 05. 인공지능 활용하기, 06. 문제해결 결과 나누기의 6단계 수업 모형과 12개의 교수전략 및 19개의 세부 지침을 개발하였다. 외적 타당화 단계에는 서울시 소재 A 초등학교의 초등학생 16명을 대상으로 7차시의 수업을 설계하고 적용하였다. 이후 학생들의 인공지능 리터러시 사전-사후 검사에 대해 윌콕슨 부호순위 검정을 실시한 결과 인공지능 리터러시가 통계적으로 유의미하게 향상되었음을 확인하였다. 본 연구는 인공지능 리터러시, 인공지 능 융합교육, 사회과 문제해결수업의 요소를 총체적으로 반영한 수업모형 및 교수전략을 개발하였다는 점, 개발된 수업모형 및 교 수전략을 활용한 수업을 실제 교육 현장에 적용하였을 때 인공지능 리터러시 함양에 유의미한 차이를 확인하였다는 점에 의의를 지닌다. The purpose of this paper is developing an instructional model and strategies for AI-integrated Social studies problem solving to improve AI-literacy. Within the framework of instructional design and development, this paper was undertaken in the following order. First, the instructional model and teaching strategy derived through the analysis of previous studies were internally validated through expert validation. Next, external validation was performed through class application and effect analysis. The final instructional model developed in this study is consisted of six steps and final teaching strategy is consisted of 12 teaching strategies, 19 detailed guidelines. For the external validation, A 7-hour class designed according to the class model and teaching strategy developed in this study was applied to 16 elementary school students in Seoul. Artificial intelligence literacy pre-post Wilcoxon code ranking test was conducted and it is found that total artificial intelligence literacy was increased significantly. The significance of this study is as follows. First, this study developed a class model and teaching strategy that reflects the elements of artificial intelligence literacy, artificial intelligence convergence education, and social science problem-solving classes as a whole. Second, when it comes to effectiveness, there was a significant difference in cultivating artificial intelligence literacy was confirmed."
교양교육을 위한 활동중심 인공지능 윤리 교육 사례 연구,전수진,한국인공지능교육학회,2022,인공지능연구 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3a527e3a5f86ed204884a65323211ff0&keyword=인공지능,초록이 없습니다.
인공지능교육 플랫폼의 초중등 수업 적합성 연구,"김태령,한선관",한국인공지능교육학회,2022,인공지능연구 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4b5ca2baf7ef8f81d18150b21a227875&keyword=인공지능,"본 연구는 인공지능교육에 활용하는 플랫폼을 교육 특성에 맞게 분류하고자 하는 연구이다. 현재 인공지능교육의 실제 현장 적용 프로그램은 플랫폼을 이용하여 지식을 습득하거나 문제 해결에 사용하는 경우가 대부분이다. 그러나 현장에서는 서로 다른 특성을 가진 플랫폼이 난립하고 있다. 따라서 본 논문에서 논문과 각종 교육 프로그램에 사용되는 다양한 인공지능체험 플랫폼과 인공지능 코딩 플랫폼을 특성별로 분류하여 실제 교육 적용 시 선택에 도움을 주고자 각 기능의 장단점을 정리하고 상황별 인공지능 교육 플랫폼을 정리하고자 한다. 분석과 분류 기준은 문헌 분석을 통해 선정하였으며 플랫폼이 가진 기능적 특징을 기초로 하여 진행되 었다. 해당 연구를 통해 다양한 상황에서 인공지능교육이 실제에 적절하게 전개되어 각 교실 상황에서 이루어지는 교육에 비계를 전달할 수 있기를 바란다. This study is an educational application analysis study of a platform used for artificial intelligence education. Most of the practical field application programs of artificial intelligence education, which are being emphasized day by day, use the platform to acquire knowledge or use it to solve problems. However, there are a lot of platforms in the field, each with different characteristics. Therefore, in this thesis, various artificial intelligence experience platforms and artificial intelligence coding platforms used in the thesis and various educational programs are classified by characteristics to help the selection when applying actual education. Analysis and classification criteria were selected through literature analysis and proceeded based on the functional characteristics of the platform. Through this study, it is expected that various artificial intelligence education will be developed through appropriate platforms in various situations to create the most effective situation for education."
초등학생 인공지능 윤리 인식 척도 개발,이혜령(Hye Ryeong Lee),한국인공지능윤리학회,2023,인공지능윤리연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c1130f3640b77b834884a65323211ff0&keyword=인공지능,"인공지능 윤리교육을 효과적으로 설계하기 위해서는 학생들의 인공지능 윤리 인식 수준을 객관적으로 판단하는 것이 필요하다. 이를 위해 본 연구에서는 타당하고 신뢰할 수 있는 초등학생 인공지능 윤리 인식 척도를 개발하고자 하였다. 이를 위해 인공지능 윤리 인식을 Rest의 4구성요소를 참고해 민감성, 판단력, 동기화의 세 구성요소로 이루어진 개념이라 정의하였다. 그리고 과학기술정보통신부와 정보통신정책연구원이 제시한 인공지능 윤리원칙의 10대 핵심요건(인권보장, 프라이버시 보호, 다양성 존중, 침해금지, 공공성, 연대성, 데이터 관리, 책임성, 안전성, 투명성)을 측정 요인으로 설정하였으며, 인공지능 윤리 문제 상황을 웹툰으로 제시하고 초등학생들이 관련된 문항에 응답하는 형식의 척도를 개발하고자 하였다. 개발한 예비 검사지의 내용 타당도 검증을 위해 두 차례에 걸쳐 델파이 조사를 실시하였다. 이후 서울특별시 및 경기도 소재 초등학교 5, 6학년 학생을 대상으로 12차 검사를 실시하였다. 각 검사결과에 대하여 요인 분석 및 신뢰도 검증을 실시하여 최종 30문항을 추려 초등학생 인공지능 윤리 인식 척도를 개발하였다. 본 연구에서 개발한 척도가 초등학생의 인공지능 윤리 인식 발달 수준을 진단하는 객관적인 자료로, 또 인공지능 윤리 수업을 위한 교육 자료로 역할을 하여 교육 현장에서 인공지능 윤리 인식 함양을 위한 체계적인 교육이 이루어지도록 일조하기를 기대한다. The need for education to solve ethical problems that may arise due to AI has been recognized. In this study, we set out to develop an AI ethics awareness scale that can assess the level of AI ethics awareness of elementary school students. AI ethical awareness was defined as a concept consisting of three components: AI ethical sensitivity, judgment, and motivation by referring to Rest's four components. Furthermore the Ministry of Science and ICT proposed 10 requirements. These 10 requirements are as follows. Human rights protection, Privacy protection, Respect for diversity, Prohibition of human rights violation, Publicity, Solidarity, Data management, Accountability, Safety, and Transparency. In order to measure these requirements, a scale was created by using these requirements as measurement factors. This was done by showing elementary school students AI ethics problem scenarios through webtoons and having them respond to related questions. In order to verify the validity of the contents for the developed preliminary questions, a Delphi survey was conducted twice. The 1st and 2nd tests were conducted on 5th and 6th grade elementary school students. Factor analysis was also conducted on the test results to verify validity. Finally, 30 items were selected through reliability verification. The scale developed in this study serves as objective data to diagnose the level of AI ethics awareness, and is expected to contribute to more systematic education for the cultivation of AI ethics awareness in the field of elementary education in the future."
인공지능 교사의 발전 수준에 따른 인공적 도덕행위자(AMA)의 역할에 대한 시론,방은찬(Eun Chan Bang),한국인공지능윤리학회,2022,인공지능윤리연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fb1f6ea7b6a08e72b36097776a77e665&keyword=인공지능,"지금은 인공지능 시대라 부를 수 있을 정도로 인공지능 중심의 기술사회가 형성되고 있다. 이러한 상황은 교육에 있어서도 무관하지 않으며 인공지능 교사에 대한 기대가 이를 나타내고 있다. 인공지능 교사가 앞으로 어떻게 발전할지를 예측해보는 것은 인공지능 교사의 발전 방향성을 제공하는 역할을 한다. 그러므로 본 논문은 인공지능 교사의 발전 수준을 1수준부터 5수준까지 5가지 기능항목에 따라 5가지 단계로 제시하였다. 또한 인공적 도덕행위자로서의 인공지능 교사가 어떠한 역할을 할 수 있는가를 논의하였다. Now, a technological society centered on artificial intelligence is being formed to the extent that it can be called the age of artificial intelligence. This situation is not irrelevant in education, and expectations for artificial intelligence teachers are showing this. Predicting how AI teachers will develop in the future serves to provide a direction for AI teachers' development. Therefore, this paper presents the development level of AI teachers in 5 stages according to 5 functional items from level 1 to level 5. In addition, the role of artificial intelligence teachers as artificial moral actors was discussed."
인공지능교육에 대한 초등교사의 인식 조사,"고병철,한선관",한국인공지능교육학회,2021,인공지능연구 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=37bb2e9e4b3cc2714884a65323211ff0&keyword=인공지능,"본 연구는 인공지능교육에 대한 초등 교사들의 인식을 분석하였다. 초등교사의 인공지능 전문성, 인공지능교육연수, SW교육에 대 한 인식과 인공지능교육 연수의 운영 방향으로 구성된 30문항의 설문지를 개발하였다. 초등 교사 74명을 대상으로 설문을 실시하였 고, SPSS의 빈도분석을 통해 분석하였다. 연구 결과 초등 교사들은 인공지능 교육능력을 위해 가장 필요한 것이 인공지능에 관련 된 개념 학습 지도 능력이라고 하였으며, 인공지능과 관련된 실습, 체험 이해 및 수행 수준을 전문성 기준에 포함할 영역으로 보았 다. 인공지능교사연수에 대한 인식은 자발적으로 참여한 동기의 비율이 매우 높아 선진 기술에 많은 관심을 갖고 있는 것으로 드러 났다. 연수의 운영 방향으로는 인공지능 체험 사이트와 실습 위주의 수업을 원하는 교사들이 가장 많았고, 연수 강사는 전문적 지식 을 가진 현장교사에게 받고 싶어 하는 비율이 가장 높았다. 본 연구 자료가 향후 인공지능 교육 연수 설계를 위해 교사들의 요구를 분석하고 반영할 수 있는 자료가 되길 기대한다. This study analyzed the perception of elementary school teachers about artificial intelligence education. A 30-question questionnaire was developed, and a questionnaire was conducted for 74 elementary school teachers, and analyzed through frequency analysis of SPSS. It is expected that this study material will be a material that can analyze and reflect the needs of teachers for the design of artificial intelligence education training in the future."
초거대 생성형 인공지능의 윤리적 문제,변순용,중앙대학교 인문콘텐츠연구소,2023,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e2dca7f99966e5a66aae8a972f9116fb&keyword=인공지능,"이 논문은 생성형 인공지능이 나오면서 인공지능에 대한 잠재적 위험 가능성과 윤리적 규제의 필요성이 제기되는 상황에서 인공지능의 여러 가지 윤리적 문제와 기준의 필요성에 대해 분석하고 있다. 생성형 인공지능의 등장으로 인해 인공지능이 가지는 지적능력에 대한 우려가 늘어나며 이것이 디지털 사회의 기계가 가진 능력과 어떤 차이가 있는지 분석하고, 이를 토대로 AI 시대는 디지털시대를 넘어 새로운 측면이 있으며 이는 AI 시민성과 AI 리터러시, AI 윤리에대한 필요성을 제기한다. 이제는 인공지능이 새로운 지식생산의 주체중 하나로들어가면 이에 도덕적 상식의 의미에 대해 델파이의 도덕 상식에 의한 추론을통해 다시 한번 생각할 수 있게 설명하였다. 그리고 인공지능에 의한 지식생산은귀납적 사고를 중심으로 하는 경향이 있으며 여기서 나타나는 문제를 물을 수있는 능력과 판단할 수 있는 능력에서 찾아 해결하려 한다. 새롭게 나타나 사용되고 있는 생성형 인공지능이 만들어내는 수많은 지식과 정보에 대해 윤리적 검증에 대해 분석하고 생성형 인공지능의 외적인 윤리적 문제(전기의 낭비, 환경오염 등)에 대한 분석을 통해 인공지능에 의해 여러 가지 윤리적 문제가 발생할수 있음을 이야기한다. 생성형 인공지능뿐만 아니라 여러 가지 인공지능이 사용되고 발전되어 가면서 지금까지 생각하지 못하였거나 생각하였더라도 그보다 더큰 윤리적 문제가 일어날 수 있다. 그렇기 때문에 AI의 윤리적 문제에 대한 윤리적 숙고와 합의에 대한 연구가 이루어져야 한다. This study analyzes various ethical issues and the need for ethical guidelines in the  context  of  the  emergence  of  generative  artificial  intelligence  (AI)  and  growing concerns  about  the  potential  risks  and  ethical  regulations  of  AI.  With  the  advent  of generative  AI,  concerns  about  the  intellectual  capabilities  of  AI  have  increased;  this study  examines  the  manner  in  which  this  differs  from  the  abilities  of  machines  in  a digital society. This analysis suggests that the AI era extends  beyond  the  digital  age and presents new aspects of AI citizenship, AI literacy, and AI ethics. This explains the  significance  of  ethical  common  sense  in  the  context  of  AIʼs role as a new producer of knowledge, drawing on Delphic ethical common sense for inference. This study focuses on the tendency of knowledge production by AI to be based on inductive  reasoning  and  attempts to address  the problems  arising  from  the  ability  to question  and  judge.  It  analyzes  the  ethical  validation  of  the  vast  knowledge  and information generated by generative AI and discusses the external ethical issues (such as  energy  waste  and  environmental  pollution)  associated  with  generative  AI, highlighting the potential ethical problems that can arise from AI. As various types of AI are being used and developed, even greater ethical issues may exist that have not been  previously  considered  or  that  surpass  our  current  understanding.  Therefore, research  on  the  ethical  deliberation  and  consensus  regarding  the ethical issues  of AI is necessary."
인공지능 교육을 위한 이러닝 기반의 한국형 AI 학습 모델,"서지훈,주길홍",한국인공지능교육학회,2022,인공지능연구 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4b5ca2baf7ef8f817f7a54760bb41745&keyword=인공지능,"4차 산업혁명을 중심으로 소프트웨어의 중요성이 강조되고 있으며, 이를 기반으로 인공지능 교육이 확산되고 있다. 본 연 구는 국내의 교육체계와 교과과정을 중심으로 학습자에게 적합한 인공지능 교육 모델을 제시한다. 일반적인 교육 과정은 학습자 개개인에 대한 기본 지식과 난이도를 고려하지 않고 커리큘럼을 기준으로 교육을 진행하기 때문에 학습자에 대한 성취 만족도와 효과적인 교육을 수행하기에 어려움이 있다. 이와 같은 사항은 소프트웨어 교육 및 인공지능 교육을 처음 접하는 비전공자 학습자에게 큰 어려움을 줄 수 있다. 그러므로 본 연구는 이러닝을 기반으로 비전공자에게 적합한 인공 지능 교육 모델을 제시하고 인공지능교육 플랫폼을 강화하여 학습자가 콘텐츠를 기반으로 다양한 실습 자원을 적용함으 로써 흥미와 학습 성과의 향상을 높일 수 있는 시스템을 제시하고자 한다. Along with the fourth industrial revolution, softwares are becoming increasingly important, and artificial intelligence education is spreading accordingly. In this regard, this study suggests an AI(Artificial Intelligence) education model suitable for learners, focusing on the domestic education system and curriculum. Since a general curriculum do not consider basic knowledge and difficulty of individuals but run the education by following the setup, it has limitations in realizing high satisfaction of learners and providing an effective education. This brings a hard time to non-majors who first encounter software and AI education. Thus, this study suggests an e-learning based AI learning model for non-majors and strengthens an AI learning platform to enable the learners to apply various practical resources based on content, arousing their interests and improving academic achievements."
영화 속에서 나타난 인공지능의 인간화와 인간지배 현상 연구 - 신체가 있는 인공지능과 하이퍼 인공지능을 중심으로,김동조 ( Dong-jo Kim ),중앙대학교 인문콘텐츠연구소,2022,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fc3f93d9d2a8fefbd18150b21a227875&keyword=인공지능,"인공지능 영화는 대체로 이분화되는 시나리오 특징이 있으며 ‘신체가 있는 인공지능’과 ‘하이퍼 인공지능’이 주요 주제로 등장한다. 신체를 가진 인공지능은 로봇 또는 인위적으로 제조된 생물적 존재가 자신만의 의식을 구현했거나 교육을 받아 스스로를 양성해왔고 계속해서 자신을 교육함을 의미한다. 이러한 영화의 줄거리의 특징은 기술에 의해 창조된 존재들이 인간처럼 되려고 한다는 데 있다. 반면, 다른 목표를 가진 영화에서는 신체가 없으므로 인간처럼 육체에 속박되어 않아서 오히려 인류를 능가하려는 ‘하이퍼 인공지능’ 기술을 추구한다. 영화 속의 그들은 신체의 관점에서 무제한적이며 인간들을 통제하려 한다. 인공지능의 이 두 형태는 특정한 시나리오 전개 유형, 즉 “인간이 되는 것”(신체가 있는 인공지능) 대 “인간을 통제하는 것”(하이퍼 인공지능)으로 구분될 수 있다. 비록 이 영화들이 미래를 분명하게 예측하지는 못하더라도 기술 발전 때문에 잠재적으로 가능한 미래 세계를 스크린에 투영하고 있는 점은 분명하다. 인공지능 분야의 발전 때문에 인류가 그것으로 혜택을 받게 될지, 스스로 자신의 무덤을 파게 될지, 고립화된 개인을 위한 새로운 선택을 열게 될지는 아직 정확히 알 수 없다. 아마도 영화관 밖에 있는 미래가 그것을 보여줄 수 있을 것이다. Two main topics can be distinguished from artificial intelligence (AI) films. These topics can be described with terms ‘body AI’ and ‘hyper AI’. ‘Body AI’ means that other biologically manufactured organisms have embodied their consciousness or have been educated and trained independently and have continued to educate themselves. The plot pattern for these films is that the beings created by technology intend to become more human. Movies with another goal show a technique expressed as ‘hyper AI’ that tries to surpass humankind because it is not bound to the body. They are not bound to the limits of a human-like body and try to gain control over people. Many AI films act as warnings about surrendering to a possibly uncontrollable technology or giving advice on what to watch out for to keep this technology in control. Fictional films, therefore, are part of a society-wide discourse on AI. Feature films project potential worlds of technological developments onto the screen. Whether developments in AI lead to humanity’s benefit or demise?. The future outside the cinemas will show."
